"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.124468792E0,-5.298980713E-1,7.740403748E-1,8.894354095E0,8.943682980E0
1.134489792E0,-3.664379883E-1,6.873706055E-1,9.419611816E0,9.451763958E0
1.144510792E0,2.140548706E-2,6.953041077E-1,9.820927277E0,9.845532925E0
1.154530792E0,4.724176025E-1,7.912545776E-1,1.018931122E1,1.023090051E1
1.164551792E0,9.084608459E-1,8.388555908E-1,1.048045578E1,1.055314802E1
1.174571792E0,9.406439209E-1,5.764512634E-1,1.018377274E1,1.024335561E1
1.184592792E0,1.371148682E-1,3.534150696E-1,9.613309021E0,9.620780271E0
1.194613792E0,-6.361770630E-1,5.694158936E-1,9.425599365E0,9.464189300E0
1.204634792E0,-1.847158813E-1,3.767665100E-1,9.007818146E0,9.017586191E0
1.214654792E0,5.870791626E-1,-2.151026917E-1,8.945248260E0,8.967072965E0
1.224675792E0,4.866380310E-1,-4.596940613E-1,9.046288147E0,9.071023340E0
1.234696792E0,3.680845642E-1,-3.701802063E-1,9.198671265E0,9.213472346E0
1.244716792E0,9.053173828E-1,-1.763333130E-1,9.635762329E0,9.679804165E0
1.254737792E0,9.499246216E-1,-1.856140137E-1,1.000100281E1,1.004772942E1
1.264758792E0,7.388635254E-1,-2.570155334E-1,1.013227982E1,1.016243428E1
1.274778792E0,2.043251038E-1,-3.948788452E-1,9.835297394E0,9.845341684E0
1.284799792E0,-2.146536255E-1,-5.107379150E-1,9.197773132E0,9.214443010E0
1.294820792E0,-4.983137512E-1,-6.409671021E-1,8.233478394E0,8.273410535E0
1.304840792E0,-7.255412292E-1,-5.629792786E-1,7.235204315E0,7.293252856E0
1.314861792E0,-6.607260132E-1,-3.555107117E-1,6.202651520E0,6.247866244E0
1.324882792E0,-7.444020081E-1,-2.354603577E-1,5.261408844E0,5.319022368E0
1.334902792E0,-6.884184265E-1,-2.198927307E-1,4.418661346E0,4.477369857E0
1.344923792E0,-6.749464417E-1,-3.965254211E-1,3.814517670E0,3.894012091E0
1.354944792E0,-7.954458618E-1,-8.503816223E-1,3.513793030E0,3.701705618E0
1.364964792E0,-1.114881592E0,-1.188827820E0,3.273542633E0,3.656822927E0
1.374985792E0,-1.125808868E0,-1.403481445E0,2.980901184E0,3.481806664E0
1.385006792E0,-9.418414307E-1,-1.499731293E0,2.642754364E0,3.181259163E0
1.395026792E0,-1.115180969E0,-1.669927368E0,1.821412354E0,2.711056800E0
1.405047792E0,-1.002165985E0,-1.893861694E0,4.580474854E-1,2.191085639E0
1.415067792E0,-2.803669739E-1,-2.464624786E0,-6.768923950E-1,2.571218445E0
1.425088792E0,4.505630493E-2,-3.107837219E0,-1.350940704E0,3.389059315E0
1.435109792E0,1.613644409E-1,-3.815565491E0,-1.830243988E0,4.234899238E0
1.445130792E0,5.278024292E-1,-4.868176575E0,-1.802102509E0,5.217786122E0
1.455150792E0,1.037342834E0,-5.449118500E0,-1.031504974E0,5.642071879E0
1.465171792E0,2.360591125E0,-5.867648163E0,-9.758207703E-1,6.399524326E0
1.475192792E0,3.682791595E0,-6.948700104E0,-9.578581238E-1,7.922428873E0
1.485212792E0,4.713099060E0,-8.023614807E0,-1.802252197E-1,9.307211100E0
1.495233792E0,5.826334076E0,-8.474177856E0,7.303312683E-1,1.030976444E1
1.505254792E0,6.860683136E0,-8.893006897E0,1.546883240E0,1.133787425E1
1.515274792E0,7.883057098E0,-9.559121704E0,2.008523254E0,1.255203420E1
1.525295792E0,9.141490173E0,-1.045366150E1,2.384391632E0,1.409011018E1
1.535315792E0,1.063283890E1,-1.133353180E1,2.864293671E0,1.580222719E1
1.545336792E0,1.240365646E1,-1.199964661E1,3.759282532E0,1.766279756E1
1.555357792E0,1.455872498E1,-1.225411743E1,4.955445099E0,1.966408663E1
1.565378792E0,1.711211517E1,-1.214409622E1,6.242768097E0,2.189236653E1
1.575398792E0,1.959964233E1,-1.150073410E1,7.489824829E0,2.392718831E1
1.585419792E0,2.134950348E1,-1.088506439E1,8.435857544E0,2.540570050E1
1.595440792E0,2.225362335E1,-1.092084000E1,8.477620697E0,2.619844559E1
1.605460792E0,2.274729675E1,-1.081755478E1,7.533533936E0,2.629093255E1
1.615481792E0,2.411155975E1,-1.044542862E1,6.142027588E0,2.698515880E1
1.625502792E0,2.590243561E1,-9.675280151E0,4.878804474E0,2.807757022E1
1.635522792E0,2.705488907E1,-9.481433258E0,2.609972534E0,2.878674271E1
1.645543792E0,2.761652115E1,-8.698112183E0,1.553170166E0,2.899554679E1
1.655564792E0,2.758388901E1,-7.577692108E0,1.836680603E0,2.866471256E1
1.665584792E0,2.661076263E1,-7.799530792E0,1.257684631E0,2.775873086E1
1.675605792E0,2.484114258E1,-7.685318298E0,6.375242615E-1,2.601063089E1
1.685626792E0,2.334036346E1,-6.366710358E0,6.921606445E-1,2.420302985E1
1.695646792E0,2.185754700E1,-4.794679413E0,8.351133728E-1,2.239282755E1
1.705667792E0,2.041754150E1,-3.452570343E0,5.903723145E-1,2.071580997E1
1.715688792E0,1.892873749E1,-2.229314117E0,1.601669312E-1,1.906023604E1
1.725708792E0,1.767479507E1,-1.445394287E0,-7.270381165E-1,1.774869375E1
1.735729792E0,1.637564667E1,-1.391805725E0,-1.420096893E0,1.649592683E1
1.745750792E0,1.484028946E1,-1.246308289E0,-3.063229980E0,1.520430378E1
1.755770792E0,1.355131989E1,-1.237925720E0,-1.879042511E0,1.373686760E1
1.765791792E0,1.198946777E1,-1.129251709E0,-3.284020844E0,1.248228103E1
1.775812792E0,1.127200974E1,-1.160686340E0,-5.048102417E0,1.240518981E1
1.785832792E0,1.085737198E1,-8.207432556E-1,-6.176306305E0,1.251810311E1
1.795853792E0,1.089988358E1,-4.941224670E-1,-6.280190277E0,1.258937683E1
1.805874792E0,1.114881592E1,-3.673361206E-1,-5.534590759E0,1.245241852E1
1.815894792E0,1.129341522E1,-6.571334839E-1,-4.257147217E0,1.208703248E1
1.825915792E0,1.127679977E1,-1.296903076E0,-2.636018372E0,1.165318684E1
1.835937167E0,1.051862640E1,-2.005230103E0,-9.360035706E-1,1.074888608E1
1.845957167E0,9.383387146E0,-3.003504181E0,4.300556946E-1,9.861741205E0
