"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.837909583E-1,1.059960800E1,2.556683350E-1,1.253283783E1,1.641612257E1
9.938099583E-1,8.994795227E0,1.069076843E0,1.201416641E1,1.504624408E1
1.003828958E0,6.912475433E0,1.538800049E0,1.035621414E1,1.254597121E1
1.013847958E0,4.679718475E0,1.368603973E0,8.151149597E0,9.498109370E0
1.023867958E0,2.177671509E0,1.430275726E0,5.831872559E0,6.387384394E0
1.033886958E0,-6.845265198E-1,1.782044220E0,2.947221222E0,3.511462813E0
1.043905958E0,-3.339555359E0,2.113305359E0,1.442999268E0,4.207248082E0
1.053924958E0,-4.586761780E0,2.700085144E0,1.351389771E0,5.491365743E0
1.063943958E0,-4.382586365E0,3.094814301E0,1.762734375E0,5.647315404E0
1.073962958E0,-3.819756775E0,3.163371735E0,2.326761475E0,5.478255335E0
1.083981958E0,-3.263812866E0,3.146157532E0,2.769391022E0,5.312279009E0
1.094000958E0,-2.895578613E0,3.091371460E0,2.955005035E0,5.164591733E0
1.104019958E0,-2.735411682E0,2.944077759E0,2.811303864E0,4.904436801E0
1.114038958E0,-2.025138702E0,2.881058807E0,2.378703461E0,4.249696080E0
1.124057958E0,-1.363215179E0,3.000660095E0,2.098486176E0,3.907167882E0
1.134076958E0,-9.060658264E-1,2.965632935E0,1.848356323E0,3.610035330E0
1.144095958E0,4.358935547E-1,2.922073517E0,1.533111877E0,3.328505499E0
1.154115958E0,2.124681702E0,3.111280060E0,1.692380676E0,4.130192283E0
1.164134958E0,4.380790100E0,3.000211029E0,2.578986969E0,5.902860485E0
1.174153958E0,6.498735809E0,2.910547485E0,4.945865021E0,8.669857818E0
1.184172958E0,8.401728516E0,3.041824493E0,8.535849609E0,1.235728396E1
1.194191958E0,9.282496948E0,3.733236694E0,1.327978455E1,1.662692044E1
1.204210958E0,9.625284119E0,6.433621216E0,1.870300690E1,2.199636432E1
1.214229958E0,1.489283020E1,1.060769119E1,2.511447418E1,3.106535558E1
1.224248958E0,2.759975601E1,1.474838058E1,3.401391769E1,4.621912871E1
1.234267958E0,3.992901718E1,1.556283691E1,4.379891968E1,6.127702400E1
1.244286958E0,4.624588120E1,1.233420090E1,4.954397278E1,6.888700369E1
1.254305958E0,4.406686249E1,8.709787903E0,4.622672104E1,6.445664056E1
1.264324958E0,3.541455505E1,9.147926788E0,3.628215088E1,5.151960546E1
1.274343958E0,2.540487030E1,1.237551498E1,2.421664124E1,3.721567571E1
1.284363958E0,1.721974136E1,1.381537079E1,1.884865402E1,2.902853288E1
1.294382958E0,1.140044266E1,1.441786789E1,1.741119324E1,2.531787229E1
1.304401958E0,8.710087280E0,1.276350815E1,1.750834122E1,2.335197578E1
1.314420958E0,6.977440338E0,1.049647247E1,1.688937836E1,2.107395808E1
1.324439958E0,6.610702972E0,8.880732422E0,1.360475876E1,1.754018994E1
1.334458958E0,7.456294556E0,7.674241333E0,8.847052460E0,1.388382677E1
1.344477958E0,7.899373169E0,5.977968750E0,5.279521179E0,1.122539758E1
1.354496958E0,6.267317047E0,3.721860352E0,2.882256317E0,7.838297578E0
1.364515958E0,3.158581696E0,1.247655487E0,9.777667236E-1,3.534021832E0
1.374534958E0,-1.739233246E0,-8.771759033E-1,-1.445394287E0,2.425599821E0
1.384553958E0,-6.488407288E0,-2.417472839E0,-4.001329193E0,7.997139449E0
1.394572958E0,-9.525890808E0,-3.123704224E0,-5.086422729E0,1.124152214E1
1.404591958E0,-1.113953522E1,-2.772384796E0,-5.446873169E0,1.270605327E1
1.414611958E0,-1.183618652E1,-2.290836182E0,-5.658832397E0,1.331786867E1
1.424630958E0,-1.168125870E1,-2.049238586E0,-5.554349670E0,1.309587660E1
1.434649958E0,-1.123264160E1,-2.025288391E0,-5.167703705E0,1.252913373E1
1.444668958E0,-9.606123962E0,-1.813778229E0,-4.769082642E0,1.087711167E1
1.454687958E0,-7.090006256E0,-1.299298096E0,-4.347559204E0,8.417697743E0
1.464706958E0,-4.353397064E0,-4.578977966E-1,-3.841012573E0,5.823668430E0
1.474725958E0,-1.443598022E0,6.821315002E-1,-3.413651276E0,3.768593062E0
1.484744958E0,2.356100464E-1,1.250200195E0,-3.381318512E0,3.612731308E0
1.494763958E0,9.044192505E-1,1.091679840E0,-3.253334656E0,3.548792109E0
1.504782958E0,1.069675598E0,6.041436768E-1,-2.761906586E0,3.022800598E0
1.514801958E0,5.174739075E-1,-1.073268127E-1,-2.131118317E0,2.195669276E0
1.524820958E0,-3.435356140E-1,-1.211730194E0,-2.065554657E0,2.419260801E0
1.534840958E0,-5.758525085E-1,-2.572550354E0,-1.897304535E0,3.247981825E0
1.544859958E0,-6.721023560E-1,-3.549568634E0,-1.329834595E0,3.849625841E0
1.554878958E0,-5.942642212E-1,-3.996539154E0,-6.212081909E-1,4.087954842E0
1.564897958E0,-2.781216431E-1,-4.311184845E0,-2.186952209E-1,4.325678446E0
1.574916958E0,-1.285826111E-1,-4.522096252E0,-1.901046753E-1,4.527916496E0
1.584935958E0,-3.324586487E-1,-4.526886292E0,-2.989283752E-1,4.548910465E0
1.594954958E0,-6.719526672E-1,-4.566853180E0,-7.682025146E-1,4.679508891E0
1.604973958E0,-1.241518250E0,-4.845124512E0,-1.568438416E0,5.241812488E0
1.614992958E0,-1.900597687E0,-5.041815491E0,-2.251617737E0,5.839688129E0
1.625011958E0,-2.042352905E0,-5.238955536E0,-2.628384247E0,6.206952895E0
1.635030958E0,-2.079326019E0,-5.357359314E0,-3.064876556E0,6.512938186E0
1.645049958E0,-2.736609192E0,-5.314099274E0,-3.993096313E0,7.188428140E0
1.655068958E0,-3.842060394E0,-5.472469940E0,-5.091063080E0,8.404063220E0
1.665088958E0,-4.065096588E0,-5.792953491E0,-5.701493683E0,9.087923340E0
1.675107958E0,-3.549269257E0,-6.069428558E0,-5.699547729E0,9.050973406E0
