Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
52.46191567,-0.231568451,-0.893791351,9.77377533,9.817289398
52.47196767,-0.213755493,-0.876277771,9.739047546,9.780726009
52.48201967,-0.205522614,-0.873733063,9.660910034,9.702516771
52.49207167,-0.216300201,-0.913400574,9.653425598,9.698954179
52.50212367,-0.229921875,-0.93720108,9.643097076,9.691260556
52.51217567,-0.202229462,-0.912053375,9.59819046,9.643546973
52.52222767,-0.174237671,-0.87642746,9.531878357,9.57367165
52.53227867,-0.188757477,-0.875978394,9.530082092,9.572117436
52.54233067,-0.232167206,-0.877924347,9.617649994,9.660426708
52.55238267,-0.248183899,-0.865200806,9.729916534,9.771460661
52.56243467,-0.220940552,-0.830622711,9.776918793,9.814626325
52.57248667,-0.195343781,-0.793499908,9.771829376,9.80593956
52.58253867,-0.196840668,-0.785416718,9.774523773,9.808003908
52.59259067,-0.217946777,-0.754131775,9.768536224,9.800026301
52.60264267,-0.232167206,-0.697100372,9.691147156,9.718960013
52.61269467,-0.222437439,-0.626746674,9.705517273,9.728276072
52.62274667,-0.214653625,-0.562530212,9.7900914,9.808588382
52.63279867,-0.246537323,-0.53468811,9.866282959,9.883835867
52.64285067,-0.294587402,-0.513731689,9.902507629,9.920199561
52.65290267,-0.312100983,-0.513731689,9.910141754,9.928355194
52.66295467,-0.267344055,-0.489781494,9.912536774,9.928229653
52.67300667,-0.221389618,-0.47735733,9.871072998,9.885088038
52.68305867,-0.239801331,-0.473465424,9.815239105,9.829577452
52.69310967,-0.281414795,-0.475710754,9.77841568,9.794024107
52.70316167,-0.301173706,-0.494272156,9.761201477,9.778346734
52.71321367,-0.335751801,-0.521216125,9.780511322,9.800142715
52.72326567,-0.359402618,-0.538879395,9.768985291,9.790435887
52.73331767,-0.341739349,-0.553249512,9.79712677,9.818684421
52.74336967,-0.319585419,-0.583935699,9.734407196,9.757140934
52.75342167,-0.290845184,-0.623004456,9.65671875,9.681164315
52.76347367,-0.213755493,-0.661025391,9.624535675,9.649576827
52.77352567,-0.109422455,-0.681083679,9.615254974,9.639967659
52.78357767,-0.074245605,-0.709823914,9.661808167,9.688131886
52.79362967,-0.08427475,-0.766855316,9.735005951,9.76552662
52.80368167,-0.094453583,-0.810564423,9.731712799,9.765867609
52.81373367,-0.082029419,-0.808319092,9.683213654,9.717239075
52.82378567,-0.075742493,-0.783171387,9.610614624,9.642769716
52.83383767,-0.097896423,-0.756826172,9.598489838,9.628778569
52.84388967,-0.121846619,-0.745599518,9.646988983,9.676526323
52.85394167,-0.186212769,-0.758023682,9.693542175,9.724918252
52.86399267,-0.217797089,-0.783171387,9.662855988,9.696988132
52.87404467,-0.179626465,-0.74889267,9.579030304,9.609938994
52.88409667,-0.110619965,-0.700393524,9.459878082,9.486415614
52.89414867,-0.112116852,-0.655935974,9.432185669,9.455630528
52.90420067,-0.133222961,-0.673299866,9.577683105,9.602244255
52.91425267,-0.158520355,-0.672551422,9.729766846,9.75427173
52.92430467,-0.18486557,-0.687370605,9.766440582,9.792344728
52.93435667,-0.152682495,-0.682580566,9.719737701,9.744871942
52.94440867,-0.061671753,-0.640967102,9.614955597,9.636493831
52.95446067,0.019160156,-0.592617645,9.499395905,9.517882398
52.96451267,0.051941986,-0.559386749,9.524992676,9.541545838
52.97456467,-0.016765137,-0.531394958,9.702224121,9.716780051
52.98461667,-0.18022522,-0.540675659,9.901160431,9.917549555
52.99466867,-0.326770477,-0.552052002,9.988878021,10.00945675
53.00472067,-0.417781219,-0.564476166,10.02001328,10.0445926
53.01477267,-0.419128418,-0.552201691,10.0993483,10.12311372
53.02482367,-0.400417328,-0.560584259,10.17943176,10.20271629
53.03487567,-0.409847717,-0.572709045,10.08063721,10.10520743
53.04492767,-0.382754059,-0.585881653,9.9679216,9.992458107
53.05497954,-0.34054184,-0.612077179,9.859247589,9.884096835
53.06503154,-0.29952713,-0.629890137,9.840087433,9.864775657
53.07508354,-0.268092499,-0.677940216,9.9188237,9.945578923
53.08513554,-0.233065338,-0.725990295,9.947414246,9.976594185
53.09518754,-0.234711914,-0.742006989,9.895771637,9.926326629
53.10523954,-0.2468367,-0.756826172,9.826615448,9.858807503
53.11529154,-0.261955261,-0.747994537,9.750423889,9.78258056
53.12534354,-0.351918182,-0.740360413,9.763746185,9.79809775
53.13539554,-0.437689819,-0.76401123,9.78545105,9.824985384
53.14544754,-0.506396942,-0.806073761,9.798923035,9.845053855
53.15549954,-0.495020599,-0.799786835,9.779912567,9.825039145
53.16555154,-0.433049469,-0.793799286,9.746681671,9.788536803
53.17560354,-0.354612579,-0.80382843,9.717192993,9.75682991
53.18565454,-0.266894989,-0.819545746,9.703271942,9.741477021
53.19570654,-0.245788879,-0.805774384,9.65088089,9.687578979
53.20575854,-0.24459137,-0.798589325,9.644893341,9.680988452
53.21581054,-0.250578918,-0.74769516,9.673633575,9.70572122
